"Longitude","Latitude"
-7071.4711357547,1188.85898986991
-615.495241754721,-510.199082129768
3152.89991924528,694.041684870072
6890.16050824527,-3043.21890412947
-3982.47681375471,1744.83348987019
-10037.0391187547,-1375.2954041302
-1882.00515275472,2578.79523987022
341.892847245279,972.028934869819
-3766.75870775472,200.3363288698
897.867347245267,-2487.24440412998
465.319186245298,354.897239869875
-2531.38336875473,-1344.1608321298
-1666.28704675469,3814.17057887046
-3581.06322475469,1435.71166787004
1669.55995324529,76.9099898701276
897.867347245267,-16.4937261294967
-3488.77145775473,-3105.48804812949
-1233.73888575472,-3475.76706513009
-3210.78420775469,-3630.32797613016
248.489131245309,-3012.08433212986
-7287.18924175473,-2363.81806512952
-5464.70483075469,-1931.2699041297
-4507.31674175469,-1128.44272613007
3152.89991924528,-4680.00783212993
3214.05711424528,-3228.91438712995
1360.43813124529,-3413.49792113007
8372.3885252453,-1097.30815412966
5500.2242582453,-2579.53617113004
4480.56702524528,-201.07726012962
2812.64352524527,3319.35327386984
1824.12086424531,3751.90143487045
5870.5032752453,2886.80511287002
6334.18600824528,3227.06150687057
-1511.72613575472,-1035.03901012965
-29.4981187547341,2022.82073986994
-4970.99947475471,2146.2470788704
-7194.89747475471,-1622.14808212955
-1666.28704675469,972.028934869819
-955.751635754728,1620.29520187016
-5804.9612247547,2176.26970187045
2904.93529224528,478.323578870338
1608.40275824528,2578.79523987022
-6670.05754675473,-449.041887130108
-8925.09011875469,-417.907315129707
2102.1081142453,-572.468226129781
-6824.61845775471,-171.054637129571
1391.57270324529,972.028934869819
651.01466924528,-1437.56454813021
6704.46502524528,1496.86886287049
2596.92541924529,2361.96518487014
1669.55995324529,-1931.2699041297
2164.37725824527,-1622.14808212955
897.867347245267,-1745.57442113001
1947.54720324528,2022.82073986994
403.050042245285,-3290.07158212961
6827.8913642453,-1128.44272613007
-4878.7077077547,-942.74724312959
5283.39420324531,4276.74136287033
-5033.26861875473,-510.199082129768
-3334.21054675471,-2518.37897612959
-585.472618754722,1095.45527387028
2070.9735422453,1404.57709587043
2534.65627524527,3010.23145187048
-6114.0830467547,1466.84623987044
279.623703245266,3720.76686287005
1700.69452524529,4462.43684587002
3708.87441924526,2917.93968487042
-1758.5788137547,1281.15075686997
5098.81066924528,725.176256870473
7260.43952524527,1003.16350687022
-6638.92297475473,-1684.41722612956
5406.82054224528,3350.48784587024
-2531.38336875473,3041.36602387009
3955.7270972453,848.602595870146
-801.190724754703,-2054.69624313016
5500.2242582453,-3166.64524312994
929.001919245274,2022.82073986994
804.463631245297,-3784.88888712944
1360.43813124529,-2394.95263712992
1762.96366924531,-4217.43704813006
4789.68884724528,3783.03600687006
5036.54152524527,2763.37877387034
4388.27525824527,2207.40427387006
6518.7695422453,-2301.5489211295
1052.42825824529,-3043.21890412947
-8893.95554675473,-1931.2699041297
2904.93529224528,-3475.76706513009
-4074.76858075472,-3630.32797613016
4233.71434724529,-4247.4596711301
-5280.12129675471,1805.99068486985
5808.23413124529,-1745.57442113001
3986.86166924531,3164.79236287056
4666.26250824526,1620.29520187016
3646.6052752453,3690.74423987
-1326.03065275473,3041.36602387009
3460.90979224527,-4000.60699312997
2781.50895324531,3968.73148987054
7507.29220324531,1559.13800687051
929.001919245274,4524.70598987003
4357.14068624526,1218.88161286995
-59.5207417547333,4184.44959587027
7074.74404224529,-2209.25715412944
7630.71854224528,-2363.81806512952
-2437.97965275471,3783.03600687006
2720.35175824531,-2023.56167112976
7878.68316924527,1929.41702387031
4758.55427524528,-1776.70899312962
8094.4012752453,-1653.28265412995
8186.69304224527,45.7754178705162
1144.7200252453,3258.19607887018
7661.85311424528,-2857.52342112979
619.880097245273,-911.612671129978
-4137.03772475473,1003.16350687022
2102.1081142453,632.884489870412
3460.90979224527,910.871739870159
403.050042245285,-1993.53904812971
-2005.43149175469,-3784.88888712944
5962.79504224526,1713.69891786979
-646.629813754728,2300.80798987048
403.050042245285,2361.96518487014
-4074.76858075472,-294.480976130034
4974.27238124531,-2271.52629812946
2472.38713124531,-4433.15515412979
8341.25395324529,-757.051760129904
-4847.57313575469,-1653.28265412995
-2684.8323307547,-2980.94976012946
1824.12086424531,3103.63516787011
-7257.16661875473,-3413.49792113007
-1357.16522475469,-386.772743130095
-2623.67513575469,-727.029137129855
-7719.7374027547,-881.59004812993
3399.75259724531,-3536.92426012975
-924.617063754722,3690.74423987
3955.7270972453,-2487.24440412998
-430.911707754697,539.480773869998
-1202.60431375472,2454.2569518702
-4322.73320775471,-3258.93701013
-90.6553137546904,2917.93968487042
2040.9509192453,-2240.39172612984
-1697.4216187547,-1807.84356513002
-738.921580754691,3968.73148987054
712.171864245285,2671.08700687028
-3951.3422417547,-1869.00076012968
-4693.01222475472,1744.83348987019
-986.886207754735,2794.51334586996
3615.47070324529,2115.11250687
2781.50895324531,-4031.74156512958
681.037292245279,4092.15782887021
3770.03161424527,1651.42977387057
4449.43245324528,2763.37877387034
-3581.06322475469,3350.48784587024
-5619.26574175471,1095.45527387028
4388.27525824527,-1498.72174312987
-3056.22329675471,-139.92006512996
6982.45227524528,-47.6282981298982
8002.10950824529,848.602595870146
-1882.00515275472,1528.0034348701
8434.65766924531,1466.84623987044
5098.81066924528,1960.55159586992
866.73277524531,-4464.28972613019
3832.30075824528,-1467.58717112947
3615.47070324529,-1097.30815412966
-1697.4216187547,3319.35327386984
1391.57270324529,-633.625421129441
-2159.99240275472,2207.40427387006
-2747.10147475471,1466.84623987044
-3056.22329675471,910.871739870159
5376.79791924528,-108.785493129558
