"Longitude","Latitude"
5932.77241924527,2393.09975687054
-3827.91590275473,-1220.73449313013
5005.40695324526,1095.45527387028
-10499.6099027547,1435.71166787004
-7596.31106375473,-2054.69624313016
7105.8786142453,-2146.98801012943
6303.05143624527,-1283.00363713014
-5990.65670775473,-325.615548129645
-8121.15099175471,-1344.1608321298
-770.056152754697,-77.6509211299468
3924.59252524529,-541.33365413017
1175.85459724531,-1807.84356513002
2565.79084724528,3227.06150687057
6056.19875824528,-1344.1608321298
4511.70159724529,-1622.14808212955
-7504.01929675472,910.871739870159
-1141.44711875471,3442.7796128703
-1572.88333075472,3659.60966787039
6890.16050824527,-1684.41722612956
-5186.71758075469,1157.72441787029
6581.03868624527,-2518.37897612959
-3240.80683075474,786.333451870133
959.024542245273,-3166.64524312994
5283.39420324531,-1653.28265412995
-3365.34511875471,1095.45527387028
-7071.4711357547,1188.85898986991
4079.15343624527,14.6408458701147
-6051.81390275473,940.894362870208
-3859.05047475469,1435.71166787004
7105.8786142453,1342.30795187042
125.062792245291,-3258.93701013
-615.495241754721,-510.199082129768
3152.89991924528,694.041684870072
-368.642563754734,-4186.30247612965
929.001919245274,-3753.75431512983
929.001919245274,-1776.70899312962
5530.2468812453,-3877.18065412951
-10037.0391187547,-1375.2954041302
187.331936245304,2856.78248986997
-6885.77565275471,1312.28532887037
-8059.9937967547,-1962.4044761301
-9851.34363575469,848.602595870146
-832.32529675471,-3105.48804812949
-3766.75870775472,200.3363288698
-1850.87058075472,200.3363288698
-5742.69208075473,-16.4937261294967
-9233.09999175473,-1869.00076012968
6086.22138124528,1991.68616787033
-6329.80115275473,2083.97793487039
-4538.45131375469,3258.19607887018
651.01466924528,2176.26970187045
156.197364245297,-2085.83081512977
-3827.91590275473,-2424.97526012997
3276.32625824529,1898.28245186991
63.9055972452852,3103.63516787011
-585.472618754722,1559.13800687051
-6948.04479675473,45.7754178705162
403.050042245285,940.894362870208
-6546.63120775471,940.894362870208
-1511.72613575472,2238.53884587046
-3210.78420775469,-2424.97526012997
-3766.75870775472,-3352.34072612962
2380.0953642453,-2456.10983212958
-5619.26574175471,1898.28245186991
1638.42538124528,3288.21870187023
-1449.4569917547,-1591.01351012994
-3581.06322475469,1435.71166787004
-893.482491754716,-1529.85631512949
4820.82341924529,756.310828870085
-4477.29411875469,940.894362870208
-6576.65383075471,-2301.5489211295
-492.068902754703,478.323578870338
7415.0004362453,1868.25982886986
-3673.35499175471,-1715.55179812996
-554.338046754716,-2641.80531513005
7908.70579224527,2052.84336286999
3028.3616312453,261.49352387025
-5063.29124175472,-1684.41722612956
4913.1151862453,1188.85898986991
1514.99904224531,3566.20595186998
-6268.64395775472,-2054.69624313016
-2715.9669027547,1250.01618487036
8341.25395324529,1466.84623987044
6920.18313124527,-386.772743130095
1669.55995324529,76.9099898701276
5592.51602524531,-1159.57729812968
897.867347245267,-16.4937261294967
1824.12086424531,-232.211832130021
1731.8290972453,-3722.61974312943
-5867.23036875471,1342.30795187042
-924.617063754722,-3877.18065412951
2256.66902524528,-1251.86906512974
12604.4664192453,-4340.86338712973
-4569.5858857547,2547.66066786982
-3673.35499175471,2393.09975687054
-2036.5660637547,-2857.52342112979
-29.4981187547341,-1251.86906512974
4202.57977524529,725.176256870473
4048.01886424531,508.346201870386
-1357.16522475469,3134.76973987051
5870.5032752453,4122.18045187026
-3271.94140275469,-3661.46254812977
-1666.28704675469,-3753.75431512983
-2684.8323307547,-3258.93701013
-1697.4216187547,-2549.51354812999
156.197364245297,-2456.10983212958
-152.924457754703,-3599.19340412976
-863.459868754716,-4217.43704813006
-1572.88333075472,-3444.63249312968
-2067.7006357547,-2456.10983212958
-2592.54056375474,-2857.52342112979
-3951.3422417547,-2023.56167112976
-4229.32949175469,-2734.09708213012
-6237.50938575471,-1313.02626013019
5005.40695324526,-201.07726012962
-5836.0957967547,-1622.14808212955
-2870.52781375473,-2271.52629812946
-3457.63688575472,-2796.36622613013
-6392.07029675469,-1715.55179812996
-5280.12129675471,-3012.08433212986
-5464.70483075469,-2424.97526012997
-4693.01222475472,-2023.56167112976
-6515.49663575471,-2610.67074312965
-4168.17229675469,-3661.46254812977
-5125.56038575469,-942.74724312959
-5681.53488575473,-1313.02626013019
-5002.13404675472,-572.468226129781
-6145.2176187547,-3043.21890412947
-7287.18924175473,-2363.81806512952
-5495.83940275469,-3321.20615413001
-5526.9739747547,-2023.56167112976
-5372.41306375473,-695.894565129454
-4477.29411875469,-3321.20615413001
-4352.75583075471,-881.59004812993
-3334.21054675471,-2765.23165412973
-4569.5858857547,-1344.1608321298
-4507.31674175469,-1128.44272613007
5128.83329224528,-911.612671129978
1514.99904224531,-3258.93701013
3615.47070324529,-2980.94976012946
3492.04436424528,-4402.02058213018
2411.22993624531,-4495.4242981298
2626.94804224529,-3166.64524312994
1175.85459724531,-2857.52342112979
4048.01886424531,-3413.49792113007
3770.03161424527,-3722.61974312943
4511.70159724529,-3814.91151012949
1330.41550824529,-3939.44979812952
3214.05711424528,-3228.91438712995
2225.53445324527,-2827.50079812974
6025.06418624528,756.310828870085
8372.3885252453,416.054434870325
7198.17038124531,-850.455476129528
8372.3885252453,-1097.30815412966
7908.70579224527,1281.15075686997
7816.41402524531,786.333451870133
7878.68316924527,-16.4937261294967
7878.68316924527,-417.907315129707
5839.3687032453,-108.785493129558
6673.33045324528,539.480773869998
6704.46502524528,1774.85611287024
5314.52877524527,1837.12525687025
-3673.35499175471,3751.90143487045
-4168.17229675469,-77.6509211299468
4758.55427524528,-1869.00076012968
7476.1576312453,-3135.51067112954
5715.94236424528,-2054.69624313016
5654.78516924527,-1653.28265412995
7260.43952524527,-2641.80531513005
5406.82054224528,-3135.51067112954
6673.33045324528,-1993.53904812971
4016.88429224531,-1869.00076012968
11522.5400422453,-2765.23165412973
5500.2242582453,-2579.53617113004
3615.47070324529,261.49352387025
4264.8489192453,-911.612671129978
4820.82341924529,106.932612870176
4480.56702524528,-633.625421129441
4480.56702524528,2393.09975687054
6303.05143624527,-881.59004812993
5345.66334724527,169.201756870189
990.159114245279,3164.79236287056
3554.31350824529,940.894362870208
1669.55995324529,4184.44959587027
496.453758245304,3536.18332886993
